CAT,CAT NAME (PT),F/R,L/R,U/L,I/O,MODEL,MDL NO,CROSS,CAR,MODEL,ANO DE I.,ANO FI.,TRSS,FRAME,ENGINE,SIZE,REMARK,PART NO.
BJ,ROTULAS,,LR,U,,NOA98,126M,,TOYOTA,NOAH ,1998,2001,,SR40,,,,BJ126M345
BJ,ROTULAS,,LR,U,,NOA984W,127M,NOA98,TOYOTA,NOAH ,1998,2001,,CR40G,,,,BJ126M345
BJ,ROTULAS,,LR,U,,TOW98,211M,,TOYOTA,TOWNACE,1998,2007,,CR42,,,,BJ126M345
BJ,ROTULAS,,LR,L,,NOA98,126M,,TOYOTA,NOAH ,1998,2001,,SR40,,,,BJ126M346
BJ,ROTULAS,,LR,L,,LIT96,114M,,TOYOTA,LITEACE ,1996,2007,,YR21,,,,BJ127M346
BJ,ROTULAS,,LR,L,,NOA984W,127M,,TOYOTA,NOAH ,1998,2001,,CR40G,,,,BJ127M346
BJ,ROTULAS,,LR,L,,TOW98,211M,,TOYOTA,TOWNACE,1998,2007,,CR42,,,,BJ127M346
BJ,ROTULAS,,L,L,,128L,,,TOYOTA,PASSO,2004,2010,,KGC10,,,,BJ128L36
BJ,ROTULAS,,R,L,,128L,,,TOYOTA,PASSO,2004,2010,,KGC10,,,,BJ128L46
BJ,ROTULAS,,LR,U,,LAN08,106L,PRA02,TOYOTA,LAND CRUISER,2008,2021,,URJ200,,,,BJ145V345
BJ,ROTULAS,,LR,U,,PRA02,145V,,TOYOTA,PRADO,2002,2009,,KZJ95,,,,BJ145V345
BJ,ROTULAS,,LR,U,,PRA12,146U,PRA02,TOYOTA,PRADO,2012,2024,,GRJ151W-GKAZK,,,,BJ145V345
BJ,ROTULAS,,LR,L,,LAN08,106L,PRA02,TOYOTA,LAND CRUISER,2008,2021,,URJ200,,,,BJ145V346
BJ,ROTULAS,,LR,L,,PRA02,145V,,TOYOTA,PRADO,2002,2009,,KZJ95,,,,BJ145V346
BJ,ROTULAS,,LR,L,,PRA12,146U,PRA02,TOYOTA,PRADO,2012,2024,,GRJ151W-GKAZK,,,,BJ145V346
BJ,ROTULAS,,LR,L,,QUA04,155L,,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,BJ155L346
BJ,ROTULAS,,LR,L,,QUA044W,156L,,TOYOTA,QUANTUM 4WD,2004,2020,,KDH205,,,,BJ156L346
BJ,ROTULAS,,LR,L,,AXI12,030K,RAC05,TOYOTA,AXIO,2012,2018,,NRE160,,,,BJ161L346
BJ,ROTULAS,,LR,L,,BEL05,036L,,TOYOTA,BELTA,2005,2016,,SCP92,,,,BJ161L346
BJ,ROTULAS,,LR,L,,FUN99,077M,RAC05,TOYOTA,FUNCARGO,1999,2005,,NCP20,,,,BJ161L346
BJ,ROTULAS,,LR,L,,IST02,103L,,TOYOTA,IST,2002,2007,,NCP60,,,,BJ161L346
BJ,ROTULAS,,LR,L,,IST07,104L,RAC05,TOYOTA,IST,2007,2016,,ZSP110,,,,BJ161L346
BJ,ROTULAS,,LR,L,,PORT04,133L,,TOYOTA,PORTE,2004,2012,,NNP10,,,,BJ161L346
BJ,ROTULAS,,LR,L,,RAC05,161L,,TOYOTA,RACTIS,2005,2010,,NCP100,,,,BJ161L346
BJ,ROTULAS,,LR,L,,RAU97,167M,,TOYOTA,RAUM,1997,2003,,EXZ10,,,,BJ161L346
BJ,ROTULAS,,LR,L,,SIE03,191L,RAC05,TOYOTA,SIENTA,2003,2015,,NCP81G,,,,BJ161L346
BJ,ROTULAS,,LR,L,,172M,,,TOYOTA,RAV4,1994,2000,,SXA10,,,,BJ172M346
